exam_id,subject_id,exam_name,exam_date,total_marks,pass_marks,duration_minutes,teacher_id,school_id,exam_type
107,396,Up-sized full-range circuit,2024-06-01,100,40,111,150,83,Quiz
108,144,Fully-configurable executive analyzer,2024-09-29,100,40,104,456,19,Quiz
109,353,Profit-focused next generation approach,2024-08-30,100,40,130,309,60,Final
110,427,Polarized national extranet,2024-02-28,100,40,50,849,69,Final
111,277,Universal zero administration focus group,2025-01-05,100,40,89,112,70,Midterm
112,395,Vision-oriented static model,2024-05-14,100,40,171,445,28,Final
113,356,Decentralized systemic policy,2024-05-14,100,40,175,787,60,Final
114,163,Expanded bifurcated application,2024-11-25,100,40,118,812,88,Midterm
115,74,Streamlined tertiary migration,2024-07-26,100,40,36,529,12,Final
116,446,Stand-alone regional data-warehouse,2024-11-13,100,40,98,486,1,Midterm
117,400,Polarized system-worthy orchestration,2024-09-22,100,40,165,61,53,Midterm
118,251,Decentralized needs-based collaboration,2024-04-06,100,40,61,693,63,Midterm
119,280,Front-line upward-trending archive,2024-03-29,100,40,96,893,18,Midterm
120,256,Streamlined holistic core,2024-07-01,100,40,104,717,16,Midterm
121,271,User-centric global parallelism,2024-04-22,100,40,170,991,80,Midterm
122,10,Decentralized actuating adapter,2024-08-22,100,40,136,754,67,Final
123,55,Extended stable function,2024-03-15,100,40,155,626,75,Quiz
124,237,Triple-buffered exuding moderator,2024-11-24,100,40,177,223,2,Final
125,465,De-engineered multi-tasking infrastructure,2024-10-27,100,40,57,713,61,Midterm
126,271,Progressive intermediate matrix,2024-03-31,100,40,67,937,50,Quiz
127,83,Monitored logistical encoding,2024-11-29,100,40,91,832,35,Midterm
128,173,Secured value-added process improvement,2024-06-24,100,40,107,565,66,Final
129,425,Seamless executive standardization,2024-08-19,100,40,172,741,50,Quiz
130,297,Distributed holistic synergy,2024-10-04,100,40,54,726,57,Final
131,494,Multi-layered explicit alliance,2024-09-04,100,40,134,836,62,Midterm
132,391,Distributed context-sensitive throughput,2024-12-12,100,40,175,881,74,Midterm
133,259,User-centric intangible conglomeration,2024-12-21,100,40,54,560,33,Midterm
134,470,Profound multi-state paradigm,2024-11-13,100,40,60,501,97,Midterm
135,295,Down-sized composite moderator,2024-04-07,100,40,108,668,75,Midterm
136,39,Open-source hybrid implementation,2025-01-28,100,40,148,503,57,Midterm
137,500,Polarized interactive ability,2024-07-30,100,40,61,652,46,Quiz
138,483,Front-line asymmetric process improvement,2025-01-12,100,40,117,24,49,Midterm
139,96,Reactive bottom-line framework,2024-11-07,100,40,151,918,35,Quiz
140,319,Pre-emptive local policy,2025-01-06,100,40,33,15,91,Midterm
141,170,User-centric intangible toolset,2024-04-23,100,40,119,407,78,Midterm
142,470,Sharable bi-directional contingency,2024-06-03,100,40,159,513,25,Final
143,371,Extended radical secured line,2024-03-03,100,40,42,579,90,Quiz
144,103,Switchable secondary system engine,2024-05-30,100,40,104,352,21,Midterm
145,278,Advanced clear-thinking help-desk,2024-07-26,100,40,54,272,48,Quiz
146,44,Function-based leadingedge secured line,2024-06-07,100,40,137,690,7,Final
147,307,Phased client-server functionalities,2024-08-03,100,40,75,6,8,Final
148,346,Intuitive tertiary pricing structure,2024-06-06,100,40,59,735,24,Final
149,409,Secured bifurcated protocol,2024-09-12,100,40,116,708,26,Midterm
150,471,Monitored methodical data-warehouse,2024-05-21,100,40,90,31,20,Midterm
151,274,Configurable intermediate focus group,2024-12-10,100,40,122,152,2,Midterm
152,493,Proactive disintermediate encoding,2024-02-25,100,40,154,6,55,Final
153,500,Fundamental systematic support,2025-01-25,100,40,61,217,65,Quiz
154,36,Devolved 5thgeneration definition,2024-09-29,100,40,99,336,52,Midterm
155,487,Programmable bifurcated hub,2024-04-02,100,40,119,503,78,Midterm
156,459,Synergized zero tolerance utilization,2024-10-21,100,40,155,318,6,Quiz
157,271,Customizable transitional task-force,2024-02-12,100,40,88,508,69,Final
158,358,Profit-focused maximized website,2024-03-18,100,40,121,706,100,Quiz
159,364,Customer-focused value-added knowledge user,2024-06-28,100,40,128,381,11,Final
160,74,Triple-buffered attitude-oriented workforce,2024-10-29,100,40,167,979,49,Quiz
161,239,Vision-oriented tangible function,2024-05-30,100,40,131,895,69,Quiz
162,92,Exclusive didactic collaboration,2024-06-18,100,40,172,733,4,Final
163,316,Customizable upward-trending analyzer,2024-08-17,100,40,138,24,6,Quiz
164,442,Innovative discrete knowledge user,2024-03-04,100,40,47,833,100,Midterm
165,431,Upgradable object-oriented instruction set,2024-03-22,100,40,120,314,46,Midterm
166,279,Exclusive executive algorithm,2024-07-25,100,40,110,935,15,Midterm
167,465,Synergistic bandwidth-monitored application,2025-01-15,100,40,150,230,56,Final
168,58,Managed modular hierarchy,2024-11-29,100,40,39,900,65,Final
169,378,Distributed user-facing projection,2024-10-07,100,40,68,334,68,Final
170,324,Compatible modular strategy,2024-10-01,100,40,159,512,36,Quiz
171,429,Devolved high-level toolset,2024-08-12,100,40,50,632,88,Quiz
172,207,Team-oriented mission-critical initiative,2025-01-21,100,40,175,706,96,Quiz
173,301,Stand-alone mission-critical help-desk,2024-07-10,100,40,51,205,44,Midterm
174,75,Open-source multi-tasking adapter,2024-04-05,100,40,81,646,1,Midterm
175,253,Re-contextualized clear-thinking model,2024-03-26,100,40,129,897,71,Midterm
176,401,Multi-layered directional firmware,2024-02-20,100,40,106,544,31,Final
177,431,Digitized dedicated parallelism,2024-11-21,100,40,49,895,70,Quiz
178,428,Exclusive system-worthy data-warehouse,2024-12-09,100,40,130,588,40,Final
179,90,Open-architected secondary adapter,2024-11-29,100,40,106,440,86,Final
180,392,Phased modular paradigm,2024-07-25,100,40,62,352,17,Midterm
181,106,Public-key cohesive framework,2024-08-02,100,40,138,207,93,Quiz
182,348,Focused stable hardware,2025-01-02,100,40,40,474,31,Midterm
183,307,Cross-platform fresh-thinking project,2024-11-25,100,40,65,633,39,Final
184,268,Adaptive leadingedge hub,2024-12-02,100,40,109,624,4,Final
185,391,Decentralized asymmetric hub,2024-07-10,100,40,42,415,74,Quiz
186,289,Optimized coherent moratorium,2024-10-04,100,40,153,300,50,Midterm
187,187,Grass-roots static help-desk,2024-10-13,100,40,52,387,66,Midterm
188,43,Operative bandwidth-monitored ability,2024-07-14,100,40,69,92,1,Final
189,149,Proactive background utilization,2024-05-07,100,40,109,112,27,Midterm
190,146,Total heuristic intranet,2024-09-14,100,40,41,703,100,Quiz
191,106,Persistent cohesive installation,2025-01-17,100,40,145,425,2,Final
192,137,Virtual methodical hierarchy,2024-09-18,100,40,107,717,90,Final
193,491,Multi-channeled user-facing conglomeration,2024-11-20,100,40,159,600,90,Quiz
194,447,Assimilated tertiary throughput,2024-05-29,100,40,54,710,7,Quiz
195,113,Centralized secondary monitoring,2024-05-22,100,40,123,893,38,Final
196,281,Diverse high-level Internet solution,2024-04-30,100,40,161,924,26,Quiz
197,175,Profit-focused hybrid superstructure,2025-01-22,100,40,145,452,2,Midterm
198,121,Balanced bottom-line knowledgebase,2024-02-26,100,40,126,781,54,Midterm
199,443,Digitized background knowledgebase,2024-12-23,100,40,174,87,46,Final
200,137,Self-enabling encompassing superstructure,2024-08-28,100,40,162,774,6,Final
201,163,Reduced 4thgeneration installation,2024-12-30,100,40,134,801,52,Final
202,331,Ameliorated object-oriented encoding,2024-05-06,100,40,170,959,8,Final
203,286,Automated executive hardware,2024-12-09,100,40,32,268,33,Final
204,33,Expanded grid-enabled approach,2024-03-29,100,40,59,449,50,Midterm
205,303,Assimilated real-time knowledgebase,2024-04-26,100,40,47,664,84,Final
206,141,Compatible bi-directional middleware,2025-01-01,100,40,45,300,8,Quiz
207,77,Switchable mobile task-force,2024-05-24,100,40,156,259,65,Quiz
208,64,User-friendly 3rdgeneration encryption,2024-08-12,100,40,143,266,43,Quiz
209,112,Intuitive radical budgetary management,2024-05-11,100,40,42,765,76,Midterm
210,434,Synergized global hub,2024-10-07,100,40,140,858,89,Quiz
211,201,Balanced scalable neural-net,2024-08-29,100,40,44,491,29,Midterm
212,371,Configurable next generation knowledge user,2024-10-06,100,40,154,878,37,Final
213,124,Stand-alone executive neural-net,2024-05-11,100,40,37,638,26,Quiz
214,375,Focused client-server contingency,2024-12-18,100,40,31,312,25,Midterm
215,345,Down-sized secondary encryption,2024-09-14,100,40,143,11,19,Final
216,53,Up-sized reciprocal open architecture,2024-06-07,100,40,167,446,5,Final
217,81,Secured zero administration capability,2025-01-10,100,40,93,626,84,Quiz
218,441,Re-engineered regional info-mediaries,2025-01-23,100,40,83,844,84,Quiz
219,265,Re-contextualized executive database,2024-05-16,100,40,144,282,79,Midterm
220,339,Multi-tiered analyzing collaboration,2024-11-03,100,40,80,589,12,Final
221,307,Customizable logistical product,2024-05-28,100,40,131,780,27,Final
222,213,Cross-group directional artificial intelligence,2024-04-28,100,40,66,435,1,Final
223,280,Upgradable logistical info-mediaries,2024-05-27,100,40,59,559,96,Midterm
224,117,Profit-focused object-oriented core,2024-10-18,100,40,98,469,17,Final
225,202,Versatile responsive pricing structure,2024-10-31,100,40,50,434,58,Final
226,427,Advanced cohesive leverage,2024-08-29,100,40,38,405,22,Final
227,333,Grass-roots 6thgeneration infrastructure,2024-06-21,100,40,161,677,99,Final
228,221,Optional stable support,2024-02-28,100,40,174,248,100,Quiz
229,403,Future-proofed zero administration data-warehouse,2024-12-06,100,40,33,851,32,Final
230,182,Ergonomic grid-enabled circuit,2025-01-10,100,40,98,412,4,Final
231,329,Configurable dynamic definition,2024-08-05,100,40,92,546,87,Midterm
232,225,Enterprise-wide 3rdgeneration support,2024-11-03,100,40,51,628,86,Quiz
233,245,Inverse heuristic workforce,2024-10-08,100,40,61,135,83,Final
234,160,Customizable clear-thinking data-warehouse,2024-03-07,100,40,155,664,23,Midterm
235,246,Sharable impactful product,2024-04-29,100,40,74,20,65,Quiz
236,52,Synchronized cohesive contingency,2024-08-27,100,40,127,117,2,Quiz
237,401,Cross-platform context-sensitive attitude,2024-12-17,100,40,72,9,81,Quiz
238,496,Multi-tiered homogeneous initiative,2024-12-13,100,40,163,909,54,Midterm
239,132,Focused discrete Local Area Network,2024-11-17,100,40,129,142,47,Quiz
240,420,Expanded scalable project,2024-12-17,100,40,171,325,68,Quiz
241,369,Optional asynchronous success,2024-07-07,100,40,163,497,66,Midterm
242,181,User-centric optimizing secured line,2024-08-17,100,40,127,230,41,Quiz
243,447,Switchable reciprocal time-frame,2024-08-28,100,40,65,561,23,Final
244,179,Upgradable optimal success,2024-03-27,100,40,138,747,18,Quiz
245,484,Exclusive maximized protocol,2024-09-07,100,40,102,893,43,Final
246,180,Stand-alone web-enabled extranet,2024-09-05,100,40,60,572,34,Quiz
247,87,Object-based multi-tasking collaboration,2024-09-18,100,40,120,476,73,Quiz
248,161,Vision-oriented multi-state success,2024-12-17,100,40,56,276,52,Final
249,131,Persevering secondary frame,2025-01-11,100,40,142,234,22,Final
250,424,Decentralized analyzing database,2024-07-08,100,40,159,558,62,Final
251,104,Universal asynchronous intranet,2024-10-17,100,40,179,368,90,Midterm
252,26,Vision-oriented encompassing orchestration,2024-08-21,100,40,46,131,72,Midterm
253,10,Sharable cohesive intranet,2024-05-06,100,40,114,432,19,Quiz
254,231,Stand-alone client-server process improvement,2025-01-23,100,40,115,585,55,Midterm
255,110,Object-based empowering toolset,2024-04-03,100,40,107,677,2,Final
256,440,Object-based zero-defect superstructure,2024-07-22,100,40,170,150,82,Quiz
257,322,Balanced explicit framework,2024-09-15,100,40,111,967,14,Midterm
258,258,Profound transitional help-desk,2024-03-28,100,40,119,225,53,Midterm
259,46,Sharable upward-trending standardization,2024-07-02,100,40,164,440,93,Midterm
260,308,Phased systematic product,2024-04-16,100,40,72,902,32,Final
261,174,Synchronized 24/7 model,2024-12-23,100,40,143,85,6,Quiz
262,288,Managed solution-oriented task-force,2025-01-23,100,40,58,464,42,Final
263,418,Fundamental 3rdgeneration flexibility,2024-11-27,100,40,82,615,55,Quiz
264,217,Assimilated didactic strategy,2024-07-28,100,40,121,10,62,Midterm
265,368,Open-architected leadingedge hardware,2024-05-10,100,40,112,652,60,Midterm
266,119,Up-sized explicit throughput,2024-03-18,100,40,97,524,100,Midterm
267,200,Cloned empowering projection,2024-11-13,100,40,118,477,50,Quiz
268,29,Quality-focused object-oriented portal,2024-12-17,100,40,53,653,37,Midterm
269,134,Distributed empowering pricing structure,2024-12-17,100,40,175,234,36,Quiz
270,191,Realigned even-keeled core,2024-09-28,100,40,79,871,12,Quiz
271,302,Configurable content-based encryption,2025-01-13,100,40,81,975,90,Final
272,496,Face-to-face contextually-based concept,2024-03-14,100,40,117,959,60,Final
273,418,Front-line attitude-oriented middleware,2024-08-10,100,40,41,149,68,Quiz
274,201,Intuitive contextually-based archive,2025-01-01,100,40,144,362,55,Final
275,237,Multi-layered dynamic intranet,2024-08-04,100,40,86,697,71,Midterm
276,128,Diverse 5thgeneration instruction set,2024-04-07,100,40,49,928,31,Quiz
277,35,Balanced tertiary knowledgebase,2024-02-21,100,40,165,796,54,Final
278,73,Open-architected interactive task-force,2024-07-29,100,40,142,156,19,Midterm
279,419,Fundamental mobile structure,2024-10-10,100,40,87,618,41,Midterm
280,194,Exclusive composite pricing structure,2024-03-19,100,40,32,620,80,Final
281,452,Customizable bottom-line knowledgebase,2024-09-17,100,40,121,562,38,Quiz
282,357,Implemented neutral protocol,2024-05-04,100,40,104,272,2,Final
283,430,Reactive homogeneous task-force,2024-02-18,100,40,100,171,99,Final
284,2,Self-enabling stable budgetary management,2024-02-13,100,40,81,145,11,Quiz
285,388,Enterprise-wide mobile flexibility,2025-01-11,100,40,70,68,8,Quiz
286,163,Business-focused client-server strategy,2024-11-28,100,40,108,342,78,Midterm
287,486,Advanced multi-tasking database,2024-07-13,100,40,73,953,90,Quiz
288,241,User-centric analyzing strategy,2024-05-13,100,40,120,925,19,Final
289,385,Configurable impactful workforce,2024-05-15,100,40,48,60,73,Quiz
290,374,Configurable mission-critical workforce,2024-10-01,100,40,72,956,55,Final
291,86,Team-oriented holistic matrix,2025-01-12,100,40,114,529,36,Final
292,66,Exclusive web-enabled open system,2024-05-24,100,40,66,347,31,Midterm
293,161,Enterprise-wide eco-centric matrix,2024-08-12,100,40,45,419,74,Quiz
294,79,Pre-emptive disintermediate moderator,2024-09-16,100,40,98,842,43,Final
295,14,Networked exuding workforce,2024-02-14,100,40,44,858,78,Final
296,50,Streamlined incremental matrix,2024-09-17,100,40,46,551,61,Final
297,98,Self-enabling directional time-frame,2024-12-28,100,40,102,674,92,Quiz
298,176,Visionary tertiary synergy,2024-12-20,100,40,33,823,69,Final
299,310,Mandatory bifurcated migration,2024-04-14,100,40,171,785,53,Midterm
300,409,Optional tertiary customer loyalty,2024-11-29,100,40,90,736,16,Final
301,159,De-engineered systematic infrastructure,2024-03-30,100,40,144,667,87,Midterm
302,104,Reduced composite emulation,2024-02-07,100,40,137,670,82,Midterm
303,18,Integrated stable process improvement,2024-03-18,100,40,60,981,28,Final
304,1,Universal 3rdgeneration flexibility,2024-07-15,100,40,60,236,22,Quiz
305,16,Object-based composite access,2024-06-11,100,40,96,564,69,Midterm
306,180,Vision-oriented bi-directional contingency,2024-05-21,100,40,116,165,68,Final
307,50,Mandatory modular projection,2024-06-11,100,40,54,593,16,Final
308,185,Configurable heuristic core,2024-07-31,100,40,34,542,10,Final
309,206,Fundamental mission-critical frame,2025-01-19,100,40,128,422,97,Midterm
310,191,Programmable 24/7 initiative,2024-05-15,100,40,123,450,64,Quiz
311,150,Customer-focused object-oriented definition,2024-04-15,100,40,40,964,86,Quiz
312,289,Enhanced clear-thinking Graphical User Interface,2024-03-22,100,40,55,406,79,Midterm
313,463,Enhanced user-facing budgetary management,2024-03-24,100,40,161,357,53,Quiz
314,264,Synchronized optimal knowledgebase,2024-02-22,100,40,89,689,87,Midterm
315,171,Phased composite array,2024-04-15,100,40,177,649,74,Midterm
316,76,Expanded tangible task-force,2024-06-12,100,40,54,917,43,Final
317,354,Sharable dedicated throughput,2025-01-25,100,40,151,646,78,Quiz
318,220,Adaptive context-sensitive Local Area Network,2024-10-29,100,40,56,645,49,Midterm
319,90,Business-focused zero administration structure,2024-09-16,100,40,153,466,41,Quiz
320,143,Innovative didactic hierarchy,2024-07-26,100,40,154,412,13,Midterm
321,16,Object-based stable customer loyalty,2024-05-25,100,40,157,322,33,Quiz
322,212,Streamlined directional knowledgebase,2024-10-19,100,40,166,763,34,Midterm
323,129,User-friendly encompassing adapter,2024-06-09,100,40,98,303,83,Final
324,42,Focused exuding migration,2024-06-18,100,40,95,274,13,Quiz
325,383,Function-based zero-defect support,2024-08-27,100,40,30,995,72,Quiz
326,263,Inverse heuristic focus group,2024-06-27,100,40,46,751,44,Midterm
327,250,Business-focused 24/7 contingency,2024-05-27,100,40,43,689,10,Quiz
328,95,Open-source 5thgeneration algorithm,2024-06-12,100,40,155,547,82,Final
329,404,Expanded bi-directional orchestration,2024-08-05,100,40,168,524,55,Quiz
330,436,Organic mobile customer loyalty,2024-07-04,100,40,38,848,43,Midterm
331,333,Mandatory even-keeled hub,2024-03-14,100,40,39,142,75,Final
332,499,Versatile secondary complexity,2024-11-15,100,40,149,760,53,Midterm
333,99,Cross-group coherent website,2024-03-24,100,40,96,12,82,Quiz
334,114,Optional 4thgeneration neural-net,2024-04-13,100,40,167,555,68,Final
335,114,Organized cohesive instruction set,2025-01-11,100,40,76,320,29,Midterm
336,17,Adaptive bi-directional approach,2024-04-06,100,40,50,704,1,Midterm
337,50,Right-sized tangible benchmark,2024-06-28,100,40,64,347,32,Quiz
338,484,Devolved next generation implementation,2024-11-28,100,40,119,924,13,Final
339,303,Cross-group methodical algorithm,2024-11-29,100,40,139,719,60,Final
340,104,Intuitive value-added implementation,2024-07-22,100,40,171,391,15,Quiz
341,1,Cross-group client-driven function,2025-01-29,100,40,143,56,26,Midterm
342,117,Cross-group well-modulated contingency,2024-10-21,100,40,148,551,80,Final
343,49,Proactive content-based info-mediaries,2025-01-08,100,40,143,117,41,Midterm
344,114,Reverse-engineered bottom-line flexibility,2024-12-28,100,40,121,912,73,Quiz
345,224,Persistent 5thgeneration productivity,2024-07-16,100,40,101,478,38,Final
346,6,Customer-focused real-time Graphic Interface,2025-01-30,100,40,125,429,100,Quiz
347,10,Ameliorated motivating process improvement,2024-10-10,100,40,115,998,86,Quiz
348,321,Progressive zero-defect toolset,2024-07-17,100,40,109,121,94,Quiz
349,3,Enterprise-wide non-volatile policy,2025-01-05,100,40,63,956,94,Final
350,464,Switchable zero administration Local Area Network,2024-04-02,100,40,86,671,63,Final
351,5,Balanced 24/7 open architecture,2024-04-25,100,40,136,946,3,Final
352,326,Synergistic secondary encryption,2024-06-11,100,40,90,617,33,Quiz
353,485,Phased user-facing productivity,2024-02-11,100,40,139,75,75,Quiz
354,432,Stand-alone national collaboration,2024-06-30,100,40,48,119,6,Final
355,397,Networked bottom-line monitoring,2024-04-20,100,40,171,203,71,Quiz
356,354,Self-enabling uniform Graphic Interface,2024-11-08,100,40,82,411,3,Quiz
357,262,Optional object-oriented pricing structure,2024-07-13,100,40,103,685,55,Midterm
358,385,Configurable contextually-based contingency,2024-07-20,100,40,165,672,19,Final
359,440,Self-enabling national initiative,2025-01-06,100,40,153,176,9,Final
360,71,Grass-roots context-sensitive collaboration,2024-09-24,100,40,75,702,97,Midterm
361,416,Mandatory analyzing projection,2024-10-13,100,40,56,61,71,Final
362,49,Vision-oriented heuristic synergy,2024-08-21,100,40,100,575,22,Quiz
363,107,Realigned reciprocal Graphical User Interface,2024-09-18,100,40,88,722,25,Quiz
364,416,User-centric even-keeled productivity,2024-08-21,100,40,104,268,19,Midterm
365,76,Organized non-volatile alliance,2024-03-10,100,40,154,945,34,Final
