performance_id,student_id,subject_id,marks_obtained,total_marks,grade,exam_type,exam_date,teacher_id,remarks
69,17936,16,48.86,100,D,Final,2024-04-28,957,Room oil rock age you clearly lawyer.
70,10079,292,96.43,100,A,Final,2024-05-25,665,Fill own against figure civil smile.
71,10253,297,71.04,100,A,Quiz,2024-05-18,752,Image meeting certain behind political similar condition.
72,3834,289,82.17,100,C,Midterm,2024-11-20,764,Physical own enter everything again foot.
73,7854,177,41.4,100,B,Quiz,2024-03-27,342,Team these remain bar management book.
74,873,89,7.31,100,A,Midterm,2024-11-04,904,Success should doctor some current coach.
75,16672,242,0.54,100,A,Midterm,2024-11-19,42,Edge eye respond article most day.
76,17616,447,14.0,100,B,Midterm,2025-01-05,368,Later player prove important.
77,7727,68,74.98,100,A,Quiz,2024-09-26,601,Term realize high indeed.
78,7702,295,71.85,100,D,Midterm,2024-09-06,542,Particular receive over company though piece six.
79,18719,271,3.03,100,D,Final,2024-08-15,73,Discuss future these field director foreign.
80,14647,60,83.58,100,A,Midterm,2024-06-01,293,Table per trade room.
81,15407,443,53.65,100,C,Final,2024-06-20,845,Its world explain certainly.
82,11549,460,56.53,100,A,Midterm,2024-08-16,927,Wear break during add stand election between team.
83,15961,99,56.77,100,D,Final,2024-05-19,332,Toward reduce truth.
84,1910,377,40.29,100,F,Quiz,2024-11-12,746,Attack for forget analysis.
85,16472,187,46.2,100,D,Midterm,2024-07-30,188,Candidate ahead many response push.
86,15233,486,91.97,100,A,Final,2024-10-04,21,Republican possible deal Democrat war.
87,7820,425,98.73,100,A,Midterm,2024-04-04,706,Among network relate without share listen.
88,10007,461,87.04,100,A,Final,2024-08-08,843,Represent three along follow expect really effort federal.
89,6529,65,74.2,100,A,Quiz,2024-02-17,712,My economy back even control.
90,11452,80,84.43,100,C,Midterm,2024-04-26,677,Gas skill religious agency might model consumer usually.
91,14008,312,81.36,100,C,Final,2024-05-21,919,Consider necessary decade family trial industry.
92,9824,196,53.69,100,D,Final,2024-06-24,407,Visit skill hot mind not always fire.
93,8335,211,61.4,100,A,Final,2025-01-29,170,Answer left someone weight call boy arm.
94,16549,157,0.84,100,A,Midterm,2025-01-22,857,During bad international her serious.
95,3596,109,76.0,100,D,Final,2024-10-26,196,Start require oil fire ago year song really.
96,14659,262,27.12,100,A,Midterm,2024-06-12,777,Worker per family choose condition million value.
97,15556,124,50.76,100,B,Midterm,2024-11-26,982,Laugh better at attack beyond.
98,5913,76,32.51,100,F,Quiz,2024-03-17,229,Community return represent focus throw item rise.
99,7314,247,42.75,100,B,Quiz,2024-02-28,748,Coach determine not you.
100,4630,446,99.65,100,B,Final,2024-06-17,338,Space wide mission.
101,1456,60,34.23,100,A,Final,2024-09-21,506,Short best anyone.
102,13267,189,46.18,100,D,Final,2024-03-22,81,Home factor order Congress low we dinner.
103,1387,358,65.15,100,A,Midterm,2024-12-30,909,Board safe play how.
104,11518,307,8.63,100,A,Quiz,2024-03-13,919,Open under hour nice begin.
105,12492,84,64.41,100,C,Final,2024-07-28,623,At son significant investment.
106,7823,320,21.52,100,B,Final,2024-08-01,521,Physical candidate strategy economic already quite never.
107,18937,44,28.52,100,B,Final,2024-04-09,994,Opportunity appear even later sometimes.
108,19296,329,67.51,100,B,Midterm,2024-04-20,983,Offer person game name.
109,10487,497,69.93,100,C,Quiz,2024-11-03,539,Goal body south Congress everybody hair.
110,1568,333,1.89,100,D,Final,2024-04-10,511,Season line offer care find see require.
111,11091,236,32.85,100,B,Midterm,2024-02-01,522,What state size happy old bed.
112,7320,377,72.46,100,B,Midterm,2024-07-16,503,Manage view degree this.
113,1777,341,74.2,100,C,Final,2024-02-16,263,Her indicate nature newspaper character capital hand.
114,12720,275,93.28,100,C,Midterm,2024-09-19,108,Contain stock choose again sister democratic.
115,6490,324,54.17,100,B,Quiz,2024-11-02,376,Maintain quite local many road citizen treat.
116,9776,437,10.91,100,C,Midterm,2024-04-16,631,Seem everyone tree next threat.
117,7399,83,95.11,100,C,Final,2024-04-17,465,Identify future cause east rate purpose.
118,1506,34,46.99,100,D,Midterm,2025-01-13,235,Cup able raise new parent throw yet free.
119,15964,339,3.8,100,A,Final,2024-03-25,371,She firm site local the.
120,6311,206,4.42,100,C,Quiz,2024-03-11,847,Pressure operation focus now.
121,18513,250,8.29,100,D,Quiz,2024-05-18,239,Smile black even north.
122,2590,322,3.81,100,B,Final,2024-03-04,169,Ground doctor foreign man base all myself down.
123,15745,240,31.36,100,F,Quiz,2024-12-26,721,Prepare life long white.
124,9,223,69.52,100,C,Midterm,2024-05-30,518,Among shoulder within conference old majority eight.
125,14211,316,82.08,100,A,Quiz,2024-04-10,993,Like join media both eat bag others.
126,11778,197,40.29,100,A,Midterm,2024-07-03,840,Base remember first no.
127,18224,96,55.07,100,B,Midterm,2024-09-29,724,Reach that system see run table response west.
128,571,247,31.32,100,D,Final,2025-01-04,225,Learn today wish class recently simple situation.
129,11831,288,80.89,100,A,Quiz,2024-04-24,505,Doctor term soldier.
130,10544,115,98.86,100,D,Midterm,2024-02-12,116,Part doctor role happy hear.
131,8581,297,86.49,100,B,Quiz,2024-03-02,645,Detail reach adult threat.
132,19391,209,98.85,100,A,Quiz,2024-10-17,703,Assume cup group box such.
133,13248,62,65.93,100,C,Quiz,2024-03-03,405,Prove democratic news detail risk arrive.
134,17874,222,21.79,100,C,Quiz,2024-08-28,282,Young necessary yes American economic.
135,19382,492,38.2,100,C,Quiz,2024-04-20,701,Five dream drive current worry forward.
136,5557,89,2.87,100,F,Quiz,2025-01-13,681,Ok south around set good.
137,5020,174,77.38,100,F,Midterm,2024-08-02,56,Action benefit write trouble effort.
138,356,102,79.98,100,C,Quiz,2024-05-04,61,Season paper be board sign tough.
139,18081,398,46.0,100,D,Quiz,2024-12-16,977,Design produce sit stuff price necessary.
140,8049,131,74.45,100,F,Midterm,2024-06-09,737,Personal article thus walk agent bank.
141,1285,260,51.77,100,B,Final,2024-07-31,571,Either certainly I word buy political more animal.
142,17903,123,92.13,100,F,Midterm,2024-12-21,452,Responsibility race huge.
143,5361,480,45.28,100,D,Quiz,2024-08-07,803,Which whole somebody million item sell.
144,6872,148,4.71,100,F,Quiz,2024-03-31,642,Stay kind avoid something arrive skill teacher walk.
145,6158,71,93.97,100,F,Midterm,2024-06-30,962,Plant baby feel this dream.
146,18249,46,38.61,100,D,Midterm,2024-03-20,921,Dark charge by money my without article.
147,16092,232,66.55,100,A,Midterm,2024-03-20,232,Name industry statement process top second beyond.
148,9323,23,17.45,100,D,Midterm,2024-10-29,448,Century enjoy economy school produce.
149,2165,256,31.09,100,D,Final,2024-07-09,109,Together than eat inside game crime other.
150,15524,321,61.33,100,F,Final,2024-07-05,655,Mind instead whatever pretty education ground.
151,17317,3,1.8,100,A,Midterm,2024-09-08,770,Shake education expect spring stage.
152,504,449,82.62,100,B,Midterm,2024-09-02,61,Significant method toward father.
153,5522,370,11.74,100,F,Quiz,2025-01-22,19,Heavy offer scene.
154,8365,469,0.8,100,A,Quiz,2024-07-17,841,Score right north future assume note be authority.
155,8102,428,78.72,100,F,Midterm,2024-06-04,112,Official wait assume arm week.
156,11641,339,63.62,100,A,Quiz,2024-05-11,154,Operation matter sense.
157,15273,394,49.2,100,B,Final,2024-10-07,296,Without care analysis report sometimes marriage.
158,8186,331,44.83,100,D,Final,2024-06-11,331,Window support girl interview fire difficult.
159,12368,39,51.77,100,C,Final,2024-10-12,575,Consumer change recent thank commercial five establish effect.
160,18790,456,9.87,100,F,Quiz,2024-03-07,849,Direction heavy apply of discussion hand movie.
161,6425,106,91.21,100,C,Quiz,2024-04-27,779,Fear believe debate gas itself.
162,14521,159,48.74,100,A,Quiz,2024-03-07,986,Lose single whether day.
163,19352,54,29.15,100,D,Quiz,2024-12-17,705,Worker smile prove.
164,3890,309,18.51,100,F,Midterm,2024-07-19,887,Both specific west ball.
165,16742,404,22.42,100,F,Midterm,2024-07-11,864,Wonder prepare church test likely home end interest.
166,12317,178,42.21,100,F,Final,2024-06-16,548,Feeling something somebody list world five.
167,19027,194,54.35,100,A,Midterm,2025-01-28,387,Hard prove whom final suffer.
168,13211,211,68.35,100,F,Midterm,2024-07-30,395,Miss play whose answer already address.
169,18811,433,56.65,100,B,Quiz,2024-07-27,735,Performance trial something within.
170,14994,446,45.3,100,A,Quiz,2024-04-15,859,Finish during back.
171,16462,416,63.41,100,D,Final,2024-05-11,467,Until cause southern notice beyond begin her.
172,9714,475,53.9,100,D,Final,2024-07-26,861,Value perform all reflect.
173,19568,231,44.23,100,C,Quiz,2024-07-30,931,Tree mention party economy image such bar.
174,15204,252,43.37,100,B,Quiz,2024-02-27,682,Husband person job police husband heart doctor.
175,16613,9,3.92,100,D,Final,2024-02-03,35,Change score produce firm.
176,13484,269,13.31,100,B,Final,2024-08-31,241,Professor case feel pay audience business wear.
177,7340,290,23.88,100,D,Final,2024-09-23,708,Admit poor page difficult ability.
178,3059,475,66.43,100,B,Final,2024-05-02,511,From bring shake identify member example tonight.
179,18429,257,40.43,100,C,Final,2024-10-05,54,Case Mrs guess evidence point.
180,14640,126,64.48,100,F,Final,2024-10-29,268,Positive choice official.
181,13194,2,74.39,100,C,Midterm,2024-02-04,84,Them step action item down.
182,15071,450,93.89,100,B,Midterm,2024-12-22,255,Sign safe fear rather organization include type degree.
183,7139,2,63.82,100,F,Final,2024-10-04,697,Hour mouth beat lawyer seek tend so.
184,18366,299,16.75,100,F,Quiz,2024-12-21,909,As deep ability.
185,494,85,98.32,100,B,Quiz,2025-01-15,673,Pass two worker.
186,11355,171,77.72,100,D,Final,2024-05-14,634,Same five alone.
187,7144,29,51.21,100,F,Midterm,2024-07-21,511,Century catch wonder.
188,1045,225,59.85,100,F,Quiz,2025-01-16,71,Claim hour people difference beautiful.
189,19701,402,72.63,100,D,Midterm,2024-06-10,193,Pick effort administration civil medical career hotel.
190,2724,178,74.09,100,B,Final,2024-04-03,301,Here bad probably audience.
191,2581,289,82.66,100,C,Final,2024-10-22,4,Enjoy government almost decision recent like lead ask.
192,17890,498,88.97,100,F,Quiz,2024-06-29,407,Take father what sure provide system.
193,15991,64,11.18,100,D,Midterm,2024-03-10,301,Word run hundred middle buy.
194,19977,271,63.12,100,F,Final,2024-07-12,246,President window later treatment will house among.
195,8392,104,42.25,100,A,Quiz,2024-05-15,257,Daughter all near.
196,3420,214,93.35,100,D,Final,2024-08-27,183,Best else wonder hour stock never.
197,8717,6,50.54,100,D,Midterm,2024-08-15,574,Upon act political more with international list care.
198,16138,30,8.34,100,B,Midterm,2024-07-10,868,Member section example exist.
199,3311,191,87.45,100,D,Final,2024-02-17,460,Reveal strategy fill five adult.
200,2028,33,67.69,100,F,Midterm,2024-05-29,524,Break early challenge relationship road.
201,15241,61,46.48,100,A,Final,2024-08-15,805,Outside husband heavy leg.
202,10932,367,61.01,100,F,Midterm,2025-01-15,734,Participant happen leave alone.
203,1477,244,81.0,100,F,Quiz,2024-05-01,564,Appear her ok magazine business.
204,733,77,17.25,100,B,Midterm,2024-11-26,569,Establish here continue article factor.
205,19092,332,39.76,100,C,Midterm,2024-06-12,196,Speech church music just present deep.
206,10239,198,10.9,100,A,Final,2024-03-06,244,Foot police fall market wall.
207,9679,47,93.83,100,D,Quiz,2024-12-01,263,Station team economic alone street structure.
208,2884,143,40.77,100,C,Final,2024-08-07,308,Natural speech court thousand nation deep.
209,10737,44,80.66,100,B,Midterm,2024-10-09,881,Keep much once suddenly window apply democratic probably.
210,6765,479,98.45,100,C,Quiz,2024-09-08,77,Find simply impact.
211,13600,407,98.77,100,C,Quiz,2024-03-09,635,End central energy.
212,2855,179,65.59,100,D,Midterm,2024-02-01,25,Simply stand design others.
213,6436,196,19.98,100,F,Final,2024-10-14,733,Anyone figure themselves people choose.
214,10084,261,39.96,100,A,Midterm,2024-04-19,458,After rule east school rule vote ok.
215,9653,135,20.88,100,B,Final,2024-05-30,868,Road moment democratic mean.
216,48,33,98.26,100,A,Final,2024-06-08,375,Prevent home city sense focus.
217,7570,204,25.96,100,A,Final,2024-02-24,667,Animal sit become hair expert.
218,14260,315,42.7,100,D,Final,2024-11-02,520,Data look decade soon act page itself.
219,3247,421,84.6,100,C,Midterm,2024-04-18,317,Party star today government still Mr.
220,11213,77,27.4,100,C,Quiz,2024-07-13,959,West reason away already.
221,14196,141,77.09,100,A,Quiz,2024-04-09,841,However describe health technology for increase.
222,10367,111,34.61,100,A,Quiz,2025-01-22,18,Firm call economic also early catch seek.
223,8700,101,96.35,100,A,Quiz,2024-11-18,284,Great apply best page member.
224,1288,486,88.72,100,B,Quiz,2024-08-23,158,Talk get compare life avoid source.
225,19696,365,25.75,100,D,Final,2024-07-01,101,Cost second year.
226,6700,75,91.76,100,A,Midterm,2025-01-17,36,Know more success nor how.
227,9806,317,65.55,100,A,Midterm,2024-12-13,440,Television require size use series.
228,9184,386,23.55,100,F,Final,2024-09-06,775,Sometimes own seek he business two.
229,15469,365,2.59,100,F,Quiz,2024-04-07,101,List worker team consider hundred.
230,18870,411,15.82,100,A,Final,2024-10-02,50,Bad firm artist enjoy need old.
231,19847,49,99.38,100,B,Midterm,2024-06-11,581,Source voice of dog else.
232,4962,338,24.39,100,D,Midterm,2024-04-29,326,Center country leader friend.
233,19089,113,13.41,100,F,Final,2024-02-26,370,Represent ask society their computer may.
234,16044,383,78.54,100,A,Quiz,2024-07-01,884,Court those force guess behavior then.
235,19908,87,70.83,100,F,Quiz,2025-01-11,111,Fill light organization play whose former recognize.
236,4588,262,76.93,100,B,Midterm,2024-04-01,906,Appear as dark economy medical gun beautiful.
237,872,219,17.32,100,B,Quiz,2024-02-19,116,Cost imagine yeah teach worry watch name.
238,16789,109,91.14,100,F,Midterm,2024-12-27,275,Officer different group know across simply country student.
239,11930,60,41.44,100,F,Midterm,2024-05-30,506,Apply beyond a kind organization.
240,14751,205,12.23,100,F,Final,2024-09-12,9,Free research hit beat.
241,16104,318,80.97,100,A,Final,2024-01-31,145,None window attorney minute care difference discover.
242,4894,122,22.84,100,C,Quiz,2024-06-22,126,Will trial avoid though happy until.
243,8157,375,20.96,100,B,Midterm,2024-06-13,928,Budget group news.
244,12234,127,35.22,100,B,Quiz,2024-12-06,773,Majority beyond trade between like trouble perhaps professor.
245,17807,440,46.04,100,B,Quiz,2024-08-30,319,Court any size administration stuff fly.
246,11602,358,82.9,100,A,Final,2024-02-23,736,Religious meet early itself perform.
247,919,295,25.37,100,C,Final,2025-01-20,682,Find course commercial financial plant church.
248,16267,47,75.6,100,D,Quiz,2024-12-03,170,Popular discover purpose take mention respond.
249,17428,342,60.99,100,B,Midterm,2024-09-01,550,Around factor respond administration.
250,4214,149,28.54,100,F,Midterm,2024-02-28,833,Call son record strong.
251,3171,205,19.46,100,B,Quiz,2024-05-06,500,Surface yes institution discuss court.
252,129,109,52.32,100,C,Quiz,2024-06-04,888,Decide so too prevent need mission.
253,14392,450,23.07,100,B,Midterm,2024-02-20,928,Everybody effect adult skill machine.
254,4557,491,13.82,100,B,Final,2025-01-06,205,Card choose main pull sport evening article.
255,14844,446,55.62,100,B,Final,2024-03-20,525,Cost door learn store.
256,2576,82,34.04,100,A,Final,2024-07-21,351,Size identify but clear.
257,4469,479,52.15,100,D,Quiz,2024-06-26,287,Form crime need center one.
258,15625,178,61.1,100,C,Final,2024-07-31,477,Floor structure area.
259,9275,357,9.03,100,D,Final,2024-02-21,220,Of generation challenge matter quickly will.
260,8949,138,7.8,100,C,Final,2024-12-06,601,Before mean my particular question possible court those.
261,9816,342,73.21,100,D,Quiz,2024-12-02,330,While from certainly.
262,5981,387,34.98,100,B,Quiz,2024-04-18,253,Religious company whether wonder lead actually reach senior.
263,4201,138,29.89,100,C,Quiz,2024-03-21,551,Discussion hit else give room.
264,7601,143,72.69,100,A,Quiz,2024-12-08,974,Forward total item industry moment pick child.
265,19243,189,31.93,100,A,Quiz,2024-04-07,668,Common factor surface more turn series design.
266,19782,231,48.28,100,C,Final,2024-08-02,140,Social eat figure right small morning.
267,17818,402,12.09,100,C,Quiz,2025-01-17,462,Save oil environment number issue area series.
268,905,467,42.79,100,B,Final,2024-08-06,811,Fear race for me far.
269,18,54,70.59,100,B,Midterm,2024-05-05,27,I visit amount mean.
270,9856,100,65.94,100,D,Final,2025-01-11,128,Scientist figure treat minute.
271,8489,314,86.59,100,F,Final,2024-05-21,169,Fund morning heart them almost manage.
272,9233,266,25.03,100,B,Final,2024-09-27,120,Wrong child claim subject.
273,11420,89,92.56,100,B,Midterm,2025-01-09,331,Class look group their space.
274,13926,282,13.35,100,A,Quiz,2024-04-19,876,Important purpose board wait it city.
275,1543,261,17.56,100,D,Quiz,2024-02-11,515,Year week new participant success newspaper middle worker.
276,142,305,50.15,100,B,Midterm,2025-01-29,37,Face behind information even study give such.
277,19015,424,12.94,100,B,Quiz,2024-03-09,118,Himself different smile half.
278,129,332,70.34,100,F,Final,2024-07-08,786,Ahead race into it.
279,4726,101,63.52,100,C,Final,2024-06-30,579,Student part face create.
280,2687,109,4.96,100,B,Final,2024-08-26,887,Market exactly account program effort.
281,19040,67,58.75,100,F,Midterm,2024-10-27,172,Because beyond available single generation miss protect remember.
282,10327,45,2.28,100,B,Midterm,2024-12-24,491,Matter either man though.
283,19585,288,92.45,100,B,Final,2024-04-18,858,Player player they perform hot charge cell.
284,15192,293,97.58,100,F,Quiz,2024-04-02,922,Apply similar military reduce detail eight.
285,17218,127,33.3,100,F,Quiz,2024-03-25,829,Blood magazine surface speech such establish relate.
286,8214,476,21.17,100,D,Midterm,2024-05-28,238,Total significant system billion tax.
287,5840,431,17.07,100,A,Quiz,2024-09-26,5,Receive movie practice white boy.
288,15329,243,64.18,100,A,Midterm,2025-01-21,493,Decision kind my recognize wall half whole.
289,17504,54,49.07,100,C,Midterm,2024-05-16,918,Their red base these.
290,12445,278,32.78,100,C,Final,2024-09-22,14,Son coach especially cultural.
291,16589,262,89.08,100,F,Quiz,2024-04-10,379,Admit truth various billion prevent exactly reach or.
292,18872,83,95.54,100,A,Quiz,2024-02-26,335,Everything set quickly receive gun claim response expert.
293,3837,485,35.81,100,B,Midterm,2024-05-12,662,Parent sea leg.
294,16720,214,91.64,100,A,Midterm,2024-05-25,987,Save president street manager site fight.
295,18761,299,62.32,100,D,Quiz,2024-04-10,297,Ability mean receive appear blood.
296,18935,144,91.83,100,A,Final,2024-02-11,113,North could back bank dog want their themselves.
297,12232,299,89.81,100,B,Final,2024-07-07,303,Economic good step job baby seem.
298,16411,369,48.83,100,D,Midterm,2025-01-16,714,Argue prove coach government.
299,11270,315,67.32,100,A,Midterm,2024-05-03,150,Including above day century budget range approach third.
300,10358,309,57.58,100,F,Final,2025-01-16,534,Run rise itself this break that your.
301,6677,138,76.01,100,B,Quiz,2024-05-17,954,Local we sort nothing down.
302,14470,277,92.11,100,D,Quiz,2024-07-31,503,Education fact after they.
303,2439,172,31.22,100,B,Quiz,2024-03-20,842,Realize available thought.
304,18579,354,76.26,100,C,Quiz,2024-09-05,636,Example about manage movement.
305,19495,389,89.74,100,D,Midterm,2024-12-05,807,Million very decide adult bar.
306,19056,155,43.93,100,D,Midterm,2024-10-03,46,Guy message quality how wind serve.
307,15327,46,60.02,100,A,Quiz,2024-12-23,660,Article theory wall wide.
308,1543,119,36.65,100,B,Final,2024-10-28,835,Close guess top Republican Mrs box care think.
309,7300,463,34.93,100,B,Midterm,2024-11-20,641,Present away hear bed.
310,15408,92,20.2,100,A,Final,2024-07-26,772,I edge follow task me west administration particularly.
311,2840,191,32.05,100,F,Quiz,2024-03-06,445,Reduce beat which price continue officer.
312,13778,127,81.8,100,A,Quiz,2024-07-03,665,Avoid foot seven Congress.
313,8916,342,22.12,100,D,Midterm,2024-12-21,385,Personal anything remain whole conference sometimes participant enter.
314,3602,33,34.28,100,B,Midterm,2024-09-20,116,Accept nearly group.
315,17103,390,50.02,100,C,Quiz,2024-05-11,263,Money current fire less every financial.
316,19576,364,89.45,100,F,Midterm,2024-04-22,743,Second themselves pattern world region within Republican.
317,12662,167,67.14,100,C,Midterm,2025-01-29,488,Well suddenly pay compare through ahead laugh.
318,6727,120,39.39,100,D,Final,2024-05-04,313,Writer several its anything determine specific.
319,17981,62,27.86,100,A,Midterm,2024-10-08,808,Even assume ability interview far.
320,14764,462,26.39,100,A,Quiz,2024-08-16,96,Truth win benefit no development.
321,18574,280,5.81,100,A,Midterm,2024-07-04,5,Hot everyone card meeting down tonight.
322,13431,127,55.52,100,B,Final,2024-09-21,858,Behind they teach nature.
323,8893,121,15.89,100,C,Final,2024-08-26,989,Research product feel a daughter hope most.
324,18631,422,73.4,100,A,Quiz,2025-01-04,527,They lot high force attention church friend.
325,19919,321,65.63,100,A,Quiz,2024-09-28,594,Arm parent specific rise have country.
326,15962,257,65.39,100,C,Final,2024-05-13,67,Soon candidate reason so quite step PM.
327,14750,307,11.28,100,C,Midterm,2024-05-12,411,At identify second follow floor occur.
328,18977,286,90.3,100,A,Quiz,2024-11-02,920,Structure feeling option shake former exactly lot.
329,6997,139,36.72,100,C,Quiz,2024-03-27,979,Board choose today card consumer serious.
330,19480,105,2.86,100,C,Quiz,2024-09-20,280,Standard teach help.
331,1619,269,4.67,100,A,Midterm,2024-05-05,979,Off nation note wait about next act hear.
332,189,214,58.66,100,D,Quiz,2024-07-05,554,Rest south capital hard boy.
333,3061,309,53.58,100,B,Midterm,2024-07-28,957,Hard quickly chance the page important speak deep.
334,6248,44,39.76,100,F,Midterm,2024-07-16,399,And provide value short avoid scene.
335,12610,148,1.72,100,B,Quiz,2024-07-28,50,Lot chance science design fear international attorney.
336,14646,178,0.29,100,F,Quiz,2025-01-12,581,Five character room.
337,888,336,94.64,100,C,Midterm,2024-02-29,529,Nearly really him.
338,3780,31,37.55,100,A,Midterm,2024-09-26,590,Store ability political ahead prove church administration.
339,3427,227,62.38,100,C,Midterm,2024-11-18,19,Prove material common care white.
340,10684,310,16.22,100,A,Quiz,2024-07-23,392,Stand others issue building military fall federal choose.
341,10754,111,72.43,100,C,Quiz,2024-02-04,279,Visit eye imagine arm.
342,11596,354,35.74,100,F,Midterm,2024-11-28,609,Language letter consumer life.
